Time mean_pt_1myr
199 29.477843
200 29.477843
201 29.477843
202 29.477843
203 30.13147197
204 30.03762642
205 29.7605467
206 30.14631999
207 30.47606384
208 30.35251141
209 30.0461067
210 29.99903783
211 30.2228917
212 30.49871885
213 30.75239255
214 31.75824714
215 31.43236907
216 29.82741754
217 30.04189737
218 29.56949921
219 29.56949921
220 29.56949921
221 29.56949921
222 29.09710105
223 29.16614424
224 29.16614424
225 29.16614424
226 29.23518743
227 30.29258425
228 30.38194267
229 30.47130108
230 31.04015963
231 31.60901819
232 31.66085894
233 30.51951704
234 30.55468045
235 30.2806364
236 30.37631484
237 30.45607629
238 30.55038543
239 30.78848397
240 31.61814179
241 32.40696247
242 30.88954639
243 32.18874225
244 32.0706563
245 30.86277591
246 31.06125862
247 31.26561925
248 31.94404547
249 32.02173688
250 32.2805623
251 32.18998228
252 30.7516835
253 28.52890698
254 29.12554066
255 28.8993696
256 29.40870228
257 29.98234449
258 30.15085689
259 29.99495765
260 29.29540125
261 30.13561608
262 28.36402604
263 29.67252482
264 28.89941571
265 28.6492877
266 28.17948835
267 29.18044767
268 28.89847085
269 30.02255012
270 29.04053929
271 28.71264831
272 29.26654677
273 29.55671892
274 29.37861963
275 29.02512486
276 28.33650861
277 28.57263195
278 28.90678449
279 29.24093703
280 29.6039473
281 29.39256808
282 28.82860701
283 28.26464594
284 28.675977
285 29.08730806
286 29.76883101
287 30.45035396
288 29.39464102
289 29.27050954
290 29.14637806
291 28.67500815
292 29.41505358
293 28.70223481
294 28.47722135
295 30.26731846
296 29.88608563
297 29.36910421
298 29.00479717
299 29.79654783
300 30.14328303
301 30.14328303
302 30.14328303
303 30.14328303
304 30.14328303
