occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,in_large_period,in_small_period,,unique_genera
639665,occ,,I,61851,Eubrontes,genus,66094,Late Hettangian,,201.4,199.5,19851,yes,no,,
639683,occ,,I,68890,Grallator,genus,64079,Lacian,Alaunian,227.3,211.18,19884,yes,no,,
639811,occ,,IF,68906,Brachychirotherium,genus,77387,Anisian,Ladinian,246.7,237,19896,yes,no,,
639812,occ,,IF,68906,Rhynchosauroides,genus,56427,Anisian,Ladinian,246.7,237,19896,yes,no,,
644887,occ,26378,IF,57949,Eosauropus,genus,131584,Norian,,227.3,205.7,39735,yes,no,,
644888,occ,38966,IF,57949,Pseudotetrasauropus,genus,77385,Norian,,227.3,205.7,23358,yes,no,,
644889,occ,38807,IF,69623,Tetrasauropus,genus,77113,Norian,,227.3,205.7,23358,yes,no,,
644890,occ,34650,I,69623,Eubrontes,genus,66094,Norian,,227.3,205.7,65481,yes,no,,
646259,occ,,IF,69798,Anchisauripus,genus,64083,Hettangian,,201.4,199.5,23423,yes,no,,
667869,occ,,,71976,Promystriosuchus,genus,100586,Carnian,Norian,237,205.7,24339,yes,no,,
668540,occ,,,72088,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668543,occ,,,72090,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668545,occ,,,72090,Procerosuchus,genus,38253,Carnian,Norian,237,205.7,24388,yes,no,,
668686,occ,,,72136,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668687,occ,,,72136,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668689,occ,,,72137,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668690,occ,,,72138,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
668691,occ,,,72139,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
690311,occ,28134,,74205,Revueltosaurus,genus,64949,Carnian,,237,227.3,15400,yes,no,,
690320,occ,,,74208,Ammosaurus,genus,38636,Early Hettangian,,201.4,199.5,24923,yes,no,,
690321,occ,40248,,74208,Clevosaurus,genus,68149,Early Hettangian,,201.4,199.5,24923,yes,no,,
690324,occ,40245,,74209,Clevosaurus,genus,68149,Early Hettangian,,201.4,199.5,24923,yes,no,,
690331,occ,,,74212,Ammosaurus,genus,38636,Early Hettangian,,201.4,199.5,83037,yes,no,,
690332,occ,40242,,74212,Clevosaurus,genus,68149,Early Hettangian,,201.4,199.5,24923,yes,no,,
690335,occ,,,74215,Ammosaurus,genus,38636,Early Hettangian,,201.4,199.5,35886,yes,no,,
690338,occ,27952,,13173,Terrestrisuchus,genus,38316,Carnian,,237,227.3,25869,yes,no,,
690339,occ,,,13182,Diphydontosaurus,genus,64134,Carnian,,237,227.3,12289,yes,no,,
690340,occ,27962,,13182,Terrestrisuchus,genus,38316,Carnian,,237,227.3,25869,yes,no,,
690341,occ,,,13182,Kuehneosaurus,genus,37841,Carnian,,237,227.3,12289,yes,no,,
690343,occ,,,13175,Kuehneosaurus,genus,37841,Carnian,,237,227.3,12289,yes,no,,
690347,occ,,,13183,Kuehneosaurus,genus,37841,Carnian,,237,227.3,12289,yes,no,,
691769,occ,,I,74513,Chirotherium,genus,64085,Anisian,,246.7,241.464,53053,yes,no,,
705331,occ,,,75651,Desmatosuchus,genus,38275,Norian,,227.3,205.7,25561,yes,no,,
705332,occ,,,75651,Desmatosuchus,genus,38275,Norian,,227.3,205.7,25561,yes,no,,
705341,occ,,,75651,Stagonolepis,genus,38271,Norian,,227.3,205.7,25561,yes,no,,
705367,occ,,,75663,Stagonolepis,genus,38271,Norian,,227.3,205.7,25561,yes,no,,
712659,occ,,,46889,Terrestrisuchus,genus,38316,Carnian,,237,227.3,25869,yes,no,,
712664,occ,,,46889,Clevosaurus,genus,68149,Carnian,,237,227.3,56028,yes,no,,
712665,occ,,,46889,Planocephalosaurus,genus,37825,Carnian,,237,227.3,25869,yes,no,,
728367,occ,,,47800,Mystriosuchus,genus,38296,Alaunian,,215.38,211.18,26360,yes,no,,
773671,occ,,,82991,Parasuchus,genus,38298,Carnian,Norian,237,205.7,27876,yes,no,,
775071,occ,,IF,28334,Carmelopodus,genus,159287,Late Hettangian,,201.4,199.5,27945,yes,no,,
775075,occ,,I,83229,Grallator,genus,64079,Early Hettangian,,201.4,199.5,76627,yes,no,,
775076,occ,38321,I,83229,Anomoepus,genus,67049,Early Hettangian,,201.4,199.5,27946,yes,no,,
775079,occ,,IF,28334,Stenonyx,genus,67047,Late Hettangian,,201.4,199.5,27948,yes,no,,
775080,occ,,IF,83229,Stenonyx,genus,67047,Early Hettangian,,201.4,199.5,27948,yes,no,,
776751,occ,,I,83328,Grallator,genus,64079,Norian,,227.3,205.7,27978,yes,no,,
776752,occ,20950,IF,83328,Brachychirotherium,genus,77387,Norian,,227.3,205.7,27985,yes,no,,
777078,occ,,,83361,Eudimorphodon,genus,38467,Alaunian,,215.38,211.18,27992,yes,no,,
777443,occ,,,83418,Eudimorphodon,genus,38467,Alaunian,Sevatian,215.38,205.7,28007,yes,no,,
777444,occ,,,83421,Eudimorphodon,genus,38467,Alaunian,Sevatian,215.38,205.7,28007,yes,no,,
778203,occ,,IF,57066,Evazoum,genus,131586,Rhaetian,Hettangian,205.7,199.5,27985,yes,no,,
778320,occ,22974,,83574,Megalancosaurus,genus,38291,Alaunian,Sevatian,215.38,205.7,32240,yes,no,,
778598,occ,,IF,52168,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,27985,yes,no,,
778927,occ,,,57071,Coelophysis,genus,38520,Norian,,227.3,205.7,69995,yes,no,,
779171,occ,22975,,83780,Megalancosaurus,genus,38291,Alaunian,Sevatian,215.38,205.7,32240,yes,no,,
779179,occ,,,83781,Langobardisaurus,genus,131764,Alaunian,Sevatian,215.38,205.7,28088,yes,no,,
780406,occ,,IF,52168,Pseudotetrasauropus,genus,77385,Norian,,227.3,205.7,28129,yes,no,,
780408,occ,,IF,83959,Brachychirotherium,genus,77387,Norian,,227.3,205.7,28129,yes,no,,
780641,occ,,,84014,Shuvosaurus,genus,90274,Rhaetian,,205.7,201.4,28148,yes,no,,
780648,occ,,,84015,Postosuchus,genus,38264,Rhaetian,,205.7,201.4,31651,yes,no,,
780649,occ,,,84015,Shuvosaurus,genus,90274,Rhaetian,,205.7,201.4,28148,yes,no,,
780655,occ,,,84016,Postosuchus,genus,38264,Rhaetian,,205.7,201.4,31651,yes,no,,
780656,occ,,,84016,Shuvosaurus,genus,90274,Rhaetian,,205.7,201.4,28148,yes,no,,
780672,occ,,,84017,Postosuchus,genus,38264,Norian,,227.3,205.7,31651,yes,no,,
780673,occ,,,84017,Shuvosaurus,genus,90274,Norian,,227.3,205.7,28148,yes,no,,
780685,occ,,IF,84021,Brachychirotherium,genus,77387,Norian,,227.3,205.7,28149,yes,no,,
780686,occ,20940,IF,84021,Eosauropus,genus,131584,Norian,,227.3,205.7,27985,yes,no,,
781136,occ,,IF,62767,Brachychirotherium,genus,77387,Rhaetian,,205.7,201.4,28162,yes,no,,
781137,occ,,I,62767,Grallator,genus,64079,Rhaetian,,205.7,201.4,28162,yes,no,,
781139,occ,,,84111,Batrachopus,genus,67448,Norian,,227.3,205.7,28162,yes,no,,
781140,occ,,IF,84111,Brachychirotherium,genus,77387,Norian,,227.3,205.7,28162,yes,no,,
781141,occ,,I,84111,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781142,occ,,IF,84111,Gwyneddichnium,genus,93712,Norian,,227.3,205.7,28162,yes,no,,
781143,occ,,IF,84111,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781144,occ,,IF,84112,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781145,occ,,I,84112,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781146,occ,,I,84113,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781147,occ,,IF,84113,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781148,occ,,IF,84114,Gwyneddichnium,genus,93712,Norian,,227.3,205.7,28162,yes,no,,
781149,occ,,IF,84114,Brachychirotherium,genus,77387,Norian,,227.3,205.7,28162,yes,no,,
781150,occ,,I,84114,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781151,occ,,IF,84114,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781152,occ,,I,84115,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781153,occ,,IF,84115,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781154,occ,,,62768,Batrachopus,genus,67448,Rhaetian,,205.7,201.4,28162,yes,no,,
781155,occ,,I,62768,Grallator,genus,64079,Rhaetian,,205.7,201.4,28162,yes,no,,
781156,occ,,IF,62768,Rhynchosauroides,genus,56427,Rhaetian,,205.7,201.4,28162,yes,no,,
781158,occ,,IF,84116,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781159,occ,,I,84116,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781160,occ,,IF,84116,Gwyneddichnium,genus,93712,Norian,,227.3,205.7,28162,yes,no,,
781161,occ,,IF,84116,Apatopus,genus,64087,Norian,,227.3,205.7,28162,yes,no,,
781163,occ,,IF,84116,Brachychirotherium,genus,77387,Norian,,227.3,205.7,28162,yes,no,,
781165,occ,,I,84117,Grallator,genus,64079,Norian,,227.3,205.7,28162,yes,no,,
781166,occ,,IF,84117,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,28162,yes,no,,
781500,occ,,IF,83959,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,27985,yes,no,,
781503,occ,,IF,84185,Brachychirotherium,genus,77387,Norian,,227.3,205.7,27985,yes,no,,
781504,occ,,IF,84186,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,65919,yes,no,,
781505,occ,,IF,84187,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,65919,yes,no,,
781506,occ,34806,IF,84187,Barrancapus,genus,131588,Norian,,227.3,205.7,27985,yes,no,,
781509,occ,,IF,62286,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,27985,yes,no,,
782127,occ,,I,84258,Grallator,genus,64079,Early Hettangian,,201.4,199.5,28228,yes,no,,
782168,occ,,,84265,Rutiodon,genus,38299,Norian,,227.3,205.7,12930,yes,no,,
782169,occ,32883,,84265,Paratypothorax,genus,64939,Norian,,227.3,205.7,60774,yes,no,,
782173,occ,,,84266,Rutiodon,genus,38299,Norian,,227.3,205.7,12930,yes,no,,
782175,occ,,,84266,Paratypothorax,genus,64939,Norian,,227.3,205.7,12930,yes,no,,
782179,occ,,,84268,Rutiodon,genus,38299,Norian,,227.3,205.7,12930,yes,no,,
782188,occ,,,84269,Rutiodon,genus,38299,Norian,,227.3,205.7,12932,yes,no,,
782208,occ,21142,,84272,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,28078,yes,no,,
782209,occ,21143,,84272,Redondasuchus,genus,156413,Norian,,227.3,205.7,28078,yes,no,,
788095,occ,,,80691,Captorhinus,genus,37497,Leonardian,,286,274.4,28557,yes,yes,,
790366,occ,,,12976,Labidosaurus,genus,37501,Kungurian,,283.3,274.4,28928,yes,yes,,
790401,occ,,IF,53684,Ingenierichnus,genus,170509,Wuchiapingian,Olenekian,259.51,246.7,33371,yes,no,,
790496,occ,,I,85569,Chirotherium,genus,64085,Norian,,227.3,205.7,14677,yes,no,,
790498,occ,36162,IF,85569,Brachychirotherium,genus,77387,Norian,,227.3,205.7,17074,yes,no,,
792227,occ,,,85484,Coelurosauravus,genus,37779,Wuchiapingian,,259.51,254.14,28974,yes,no,,
795309,occ,,,86346,Obirkovia,genus,160257,Vyatkian,,259.51,256.8,31425,yes,no,,
795351,occ,,,86346,Archosaurus,genus,38219,Vyatkian,,259.51,256.8,29101,yes,no,,
806718,occ,,,13273,Trilophosaurus,genus,38204,Norian,,227.3,205.7,29602,yes,no,,
806720,occ,,,13273,Trilophosaurus,genus,38204,Norian,,227.3,205.7,29602,yes,no,,
806721,occ,38997,,13273,Leptosuchus,genus,64948,Norian,,227.3,205.7,78487,yes,no,,
807112,occ,,I,88206,Grallator,genus,64079,Carnian,Norian,237,205.7,29620,yes,no,,
807745,occ,,IF,53684,Rhynchosauroides,genus,56427,Wuchiapingian,Olenekian,259.51,246.7,29645,yes,no,,
809377,occ,,I,88587,Kayentapus,genus,68970,Hettangian,,201.4,199.5,29718,yes,no,,
809380,occ,34799,I,88588,Kayentapus,genus,68970,Hettangian,,201.4,199.5,29718,yes,no,,
811360,occ,,,88992,Tanystropheus,genus,38196,Anisian,,246.7,241.464,29833,yes,no,,
812267,occ,,,89256,Typothorax,genus,64792,Norian,,227.3,205.7,29943,yes,no,,
816652,occ,,I,89860,Grallator,genus,64079,Tuvalian,,233.6,227.3,30097,yes,no,,
816653,occ,,IF,89860,Atreipus,genus,68367,Tuvalian,,233.6,227.3,30097,yes,no,,
816654,occ,,IF,89860,Evazoum,genus,131586,Tuvalian,,233.6,227.3,30097,yes,no,,
818844,occ,,,63538,Placodus,genus,36538,Anisian,,246.7,241.464,30148,yes,no,,
821002,occ,,,90338,Cymbospondylus,genus,36550,Smithian,Spathian,249.9,246.7,30338,yes,no,,
824330,occ,,,53947,Plesiosaurus,genus,36504,Angulata,,201.4,199.5,30559,yes,no,,
824331,occ,,,53947,Pterodactylus,genus,38494,Angulata,,201.4,199.5,28567,yes,no,,
824858,occ,,,90876,Ichthyosaurus,genus,36558,Rhaetian,,205.7,201.4,30573,yes,no,,
824859,occ,,,90876,Simosaurus,genus,36453,Rhaetian,,205.7,201.4,30573,yes,no,,
824866,occ,,,90877,Megalosaurus,genus,38583,Rhaetian,,205.7,201.4,30573,yes,no,,
829424,occ,,,91474,Parasuchus,genus,38298,Carnian,,237,227.3,30821,yes,no,,
829680,occ,,,91529,Angistorhinus,genus,38294,Carnian,,237,227.3,30842,yes,no,,
830218,occ,,IF,52986,Plectropterna,genus,155969,Hettangian,,201.4,199.5,30862,yes,no,,
830220,occ,,,52986,Batrachopus,genus,67448,Hettangian,,201.4,199.5,30862,yes,no,,
830223,occ,,IF,52986,Argoides,genus,67380,Hettangian,,201.4,199.5,30862,yes,no,,
830229,occ,,,52986,Batrachopus,genus,67448,Hettangian,,201.4,199.5,30862,yes,no,,
830233,occ,,,52986,Batrachopus,genus,67448,Hettangian,,201.4,199.5,30862,yes,no,,
830239,occ,,IF,52986,Steropoides,genus,80631,Hettangian,,201.4,199.5,30862,yes,no,,
830241,occ,,,52986,Batrachopus,genus,67448,Hettangian,,201.4,199.5,30862,yes,no,,
830242,occ,,,52986,Batrachopus,genus,67448,Hettangian,,201.4,199.5,30862,yes,no,,
832057,occ,,,92090,Typothorax,genus,64792,Lacian,Alaunian,227.3,211.18,31004,yes,no,,
832114,occ,,IF,92107,Procolophonichnium,genus,156486,Norian,Rhaetian,227.3,201.4,31017,yes,no,,
832116,occ,,,92108,Rutiodon,genus,38299,Norian,,227.3,205.7,31017,yes,no,,
832687,occ,,,92321,Stagonolepis,genus,38271,Norian,,227.3,205.7,31127,yes,no,,
833075,occ,,,92419,Owenetta,genus,37521,Changhsingian,Olenekian,254.14,246.7,31151,yes,no,,
837004,occ,27711,,92808,Doswellia,genus,38302,Norian,,227.3,205.7,43558,yes,no,,
837088,occ,,,92819,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837213,occ,24570,,92826,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837380,occ,,,92852,Smilosuchus,genus,159237,Norian,,227.3,205.7,31343,yes,no,,
837381,occ,,,92854,Leptosuchus,genus,64948,Norian,,227.3,205.7,31343,yes,no,,
837391,occ,,,92855,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,31343,yes,no,,
837427,occ,,,92873,Vancleavea,genus,69042,Late Triassic,,237,201.4,31344,yes,no,,
837548,occ,,,39219,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837550,occ,,,52499,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837556,occ,24569,,92910,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837563,occ,,,92912,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837565,occ,,,92913,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837595,occ,,,92922,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
837598,occ,38974,,92922,Postosuchus,genus,38264,Norian,,227.3,205.7,78440,yes,no,,
837642,occ,,,92933,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838827,occ,,,93108,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838829,occ,,,93110,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838832,occ,,,93111,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838834,occ,,,93112,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838839,occ,,,93113,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838841,occ,,,92824,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838866,occ,,,93115,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838916,occ,,,93116,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838920,occ,,,93117,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838925,occ,,,93118,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838930,occ,,,93122,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838933,occ,,,93123,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838935,occ,,,93125,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838937,occ,,,93126,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838956,occ,,,93127,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838960,occ,,,93129,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838961,occ,,,93130,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838965,occ,,,93131,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838967,occ,,,93132,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838969,occ,,,93133,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
838998,occ,,,93135,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
840350,occ,,,37038,Chasmatosuchus,genus,38221,Olenekian,,249.9,246.7,28844,yes,no,,
840617,occ,,,93227,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
840623,occ,,,93229,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
840723,occ,,,93231,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
840768,occ,,,93232,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
841816,occ,,,93352,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
841818,occ,22894,,93353,Desmatosuchus,genus,38275,Norian,,227.3,205.7,32140,yes,no,,
841822,occ,22893,,93355,Desmatosuchus,genus,38275,Norian,,227.3,205.7,32140,yes,no,,
841824,occ,,,93356,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
841827,occ,,,93357,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
841831,occ,,,93360,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
842113,occ,,,93430,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842121,occ,,,93432,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842126,occ,,,93431,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842127,occ,22715,,93433,Leptosuchus,genus,64948,Norian,,227.3,205.7,15399,yes,no,,
842145,occ,,,93443,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842184,occ,,,57686,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842193,occ,,,93460,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842199,occ,,,93462,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842224,occ,,,93364,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
842228,occ,,,52501,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
842232,occ,,,93478,Leptosuchus,genus,64948,Norian,,227.3,205.7,15512,yes,no,,
842233,occ,,,93230,Stagonolepis,genus,38271,Norian,,227.3,205.7,15512,yes,no,,
842234,occ,,,93230,Paratypothorax,genus,64939,Norian,,227.3,205.7,15512,yes,no,,
842242,occ,,,88338,Typothorax,genus,64792,Norian,,227.3,205.7,15512,yes,no,,
842248,occ,,,93112,Paratypothorax,genus,64939,Norian,,227.3,205.7,15512,yes,no,,
842249,occ,,,93232,Paratypothorax,genus,64939,Norian,,227.3,205.7,15512,yes,no,,
842309,occ,22713,,93491,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,31632,yes,no,,
842665,occ,22724,,48423,Shuvosaurus,genus,90274,Norian,,227.3,205.7,28148,yes,no,,
842670,occ,22729,,84013,Shuvosaurus,genus,90274,Rhaetian,,205.7,201.4,28148,yes,no,,
842671,occ,22727,,84009,Shuvosaurus,genus,90274,Rhaetian,,205.7,201.4,28148,yes,no,,
842717,occ,,,84015,Postosuchus,genus,38264,Rhaetian,,205.7,201.4,31658,yes,no,,
842718,occ,,,84015,Poposaurus,genus,38263,Rhaetian,,205.7,201.4,31658,yes,no,,
842796,occ,22763,,93547,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
842802,occ,22762,,93549,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
842803,occ,22764,,93550,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
842874,occ,,,93552,Angistorhinus,genus,38294,Norian,,227.3,205.7,31672,yes,no,,
842931,occ,22891,,93563,Lucasuchus,genus,156416,Carnian,,237,227.3,32140,yes,no,,
842957,occ,,,93570,Desmatosuchus,genus,38275,Norian,,227.3,205.7,31701,yes,no,,
842967,occ,,,93575,Rutiodon,genus,38299,Norian,,227.3,205.7,31704,yes,no,,
842973,occ,,,93576,Stagonolepis,genus,38271,Norian,,227.3,205.7,31704,yes,no,,
843041,occ,,,93588,Typothorax,genus,64792,Norian,,227.3,205.7,31715,yes,no,,
843062,occ,,,93580,Rutiodon,genus,38299,Norian,,227.3,205.7,31715,yes,no,,
843067,occ,,,93603,Paratypothorax,genus,64939,Norian,,227.3,205.7,31719,yes,no,,
843068,occ,,,93604,Desmatosuchus,genus,38275,Norian,,227.3,205.7,31719,yes,no,,
843069,occ,,,93604,Typothorax,genus,64792,Norian,,227.3,205.7,31715,yes,no,,
843073,occ,,,93605,Postosuchus,genus,38264,Norian,,227.3,205.7,31719,yes,no,,
843074,occ,22786,,93605,Paratypothorax,genus,64939,Norian,,227.3,205.7,31715,yes,no,,
843116,occ,,,93615,Angistorhinus,genus,38294,Norian,,227.3,205.7,31722,yes,no,,
843121,occ,,,93617,Rutiodon,genus,38299,Norian,,227.3,205.7,31721,yes,no,,
843152,occ,32891,,83737,Redondasuchus,genus,156413,Norian,,227.3,205.7,60778,yes,no,,
843218,occ,,,93641,Vancleavea,genus,69042,Norian,,227.3,205.7,31760,yes,no,,
843492,occ,,,93720,Procolophon,genus,37541,Induan,Olenekian,251.902,246.7,31842,yes,no,,
845884,occ,,,94091,Rutiodon,genus,38299,Norian,,227.3,205.7,31958,yes,no,,
846145,occ,,,54007,Typothorax,genus,64792,Norian,,227.3,205.7,24249,yes,no,,
846306,occ,,,62311,Postosuchus,genus,38264,Lacian,Sevatian,227.3,205.7,31988,yes,no,,
846308,occ,,,62311,Caseosaurus,genus,66660,Lacian,Sevatian,227.3,205.7,24249,yes,no,,
846843,occ,,,37037,Microcnemus,genus,37535,Induan,,251.902,249.9,28844,yes,no,,
846853,occ,,,92109,Eudimorphodon,genus,38467,Rhaetian,,205.7,201.4,32012,yes,no,,
847020,occ,,,94243,Boreopricea,genus,38187,Olenekian,,249.9,246.7,32050,yes,no,,
847023,occ,,,94243,Orenburgia,genus,37539,Olenekian,,249.9,246.7,32050,yes,no,,
847027,occ,,,94247,Microcnemus,genus,37535,Induan,,251.902,249.9,31479,yes,no,,
847959,occ,,,39160,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
849947,occ,,,48422,Eucoelophysis,genus,68125,Rhaetian,,205.7,201.4,32134,yes,no,,
853387,occ,,,94781,Hyperodapedon,genus,38210,Carnian,,237,227.3,32306,yes,no,,
853388,occ,,,94782,Hyperodapedon,genus,38210,Carnian,,237,227.3,32306,yes,no,,
853390,occ,,I,94784,Grallator,genus,64079,Carnian,,237,227.3,32308,yes,no,,
853407,occ,,,48516,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,32312,yes,no,,
853693,occ,23013,,67862,Captorhinus,genus,37497,Artinskian,,290.1,283.3,28381,yes,yes,,
855753,occ,,IF,95093,Rhynchosauroides,genus,56427,Aegean,Bithynian,246.7,244.24,32378,yes,no,,
858683,occ,,I,95349,Chirotherium,genus,64085,Early Triassic,,251.902,246.7,32444,yes,no,,
873710,occ,,,96875,Nothosaurus,genus,36442,Anisian,,246.7,241.464,33074,yes,no,,
873711,occ,35162,,96875,Eusaurosphargis,genus,321266,Anisian,,246.7,241.464,50282,yes,no,,
873712,occ,,,96875,Placodus,genus,36538,Anisian,,246.7,241.464,33074,yes,no,,
880672,occ,,,97694,Lotosaurus,genus,38285,Anisian,,246.7,241.464,33373,yes,no,,
880674,occ,,IF,80838,Rhynchosauroides,genus,56427,Anisian,,246.7,241.464,15587,yes,no,,
880675,occ,,I,80838,Chirotherium,genus,64085,Anisian,,246.7,241.464,15587,yes,no,,
880949,occ,23362,,97732,Parasuchus,genus,38298,Smithian,,249.9,248.1,11840,yes,no,,
880955,occ,,I,97735,Chirotherium,genus,64085,Carnian,,237,227.3,33402,yes,no,,
881097,occ,23363,,97738,Parasuchus,genus,38298,Carnian,,237,227.3,49039,yes,no,,
882064,occ,,,97818,Plateosaurus,genus,38644,Norian,,227.3,205.7,33788,yes,no,,
882292,occ,,,97844,Mystriosuchus,genus,38296,Early Hettangian,,201.4,199.5,33809,yes,no,,
882305,occ,,,97843,Macgowania,genus,170863,Alaunian,,215.38,211.18,33808,yes,no,,
882306,occ,,,97843,Callawayia,genus,172959,Alaunian,,215.38,211.18,33808,yes,no,,
895605,occ,,,99307,Nothosaurus,genus,36442,Pelsonian,,244.24,243.33,34143,yes,no,,
895629,occ,,,99314,Cymbospondylus,genus,36550,Ladinian,,241.464,237,34143,yes,no,,
895814,occ,,,92320,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,34758,yes,no,,
896024,occ,,,99381,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
896025,occ,,,99382,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
896026,occ,,,72089,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,24388,yes,no,,
