occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,in_large_period,in_small_period,,unique_genera
381728,occ,,IF,36226,Rotodactylus,genus,82509,Anisian,Ladinian,246.7,237,17969,yes,no,,
381730,occ,,I,36226,Coelurosaurichnus,genus,68186,Anisian,Ladinian,246.7,237,9714,yes,no,,
387512,occ,,,37036,Chasmatosuchus,genus,38221,Olenekian,,249.9,246.7,9808,yes,no,,
387513,occ,,,37037,Chasmatosuchus,genus,38221,Induan,,251.902,249.9,9808,yes,no,,
387517,occ,,,37040,Chasmatosuchus,genus,38221,Induan,Olenekian,251.902,246.7,9808,yes,no,,
387518,occ,,,37041,Chasmatosuchus,genus,38221,Induan,Olenekian,251.902,246.7,9808,yes,no,,
397890,occ,,,38250,Hyperodapedon,genus,38210,Carnian,Norian,237,205.7,10262,yes,no,,
404182,occ,,,38792,Placochelys,genus,36537,Norian,,227.3,205.7,10424,yes,no,,
405213,occ,,I,38886,Kayentapus,genus,68970,Rhaetian,Hettangian,205.7,199.5,41099,yes,no,,
405214,occ,,I,38886,Grallator,genus,64079,Rhaetian,Hettangian,205.7,199.5,41099,yes,no,,
405215,occ,,I,38886,Eubrontes,genus,66094,Rhaetian,Hettangian,205.7,199.5,41099,yes,no,,
405216,occ,,IF,38886,Dilophosauripus,genus,231458,Rhaetian,Hettangian,205.7,199.5,41099,yes,no,,
405217,occ,,IF,38886,Anchisauripus,genus,64083,Rhaetian,Hettangian,205.7,199.5,41099,yes,no,,
407766,occ,,,39219,Tanytrachelos,genus,38197,Norian,,227.3,205.7,10591,yes,no,,
407768,occ,12316,,39219,Parasuchus,genus,38298,Norian,,227.3,205.7,14122,yes,no,,
411325,occ,,,39763,Cyamodus,genus,36531,Middle Triassic,,246.7,237,10777,yes,no,,
423286,occ,,,39160,Trilophosaurus,genus,38204,Norian,,227.3,205.7,14122,yes,no,,
423288,occ,,,39160,Tanytrachelos,genus,38197,Norian,,227.3,205.7,10575,yes,no,,
451787,occ,,,44358,Nothosaurus,genus,36442,Anisian,,246.7,241.464,11661,yes,no,,
465572,occ,,,27012,Kuehneosaurus,genus,37841,Carnian,,237,227.3,12210,yes,no,,
465573,occ,,,27012,Clevosaurus,genus,68149,Carnian,,237,227.3,12210,yes,no,,
465580,occ,,,46077,Haligonia,genus,120881,Rhaetian,,205.7,201.4,17881,yes,no,,
467069,occ,,,34267,Cymbospondylus,genus,36550,Middle Triassic,,246.7,237,9007,yes,no,,
468633,occ,40334,I,46560,Anomoepus,genus,67049,Norian,,227.3,205.7,29189,yes,no,,
468635,occ,,IF,46560,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,12429,yes,no,,
468636,occ,,IF,46563,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,12429,yes,no,,
468911,occ,,IF,46622,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,12444,yes,no,,
474116,occ,,,47036,Herrerasaurus,genus,38511,Tuvalian,,233.6,227.3,12507,yes,no,,
474117,occ,,,47036,Hyperodapedon,genus,38210,Tuvalian,,233.6,227.3,12507,yes,no,,
474119,occ,,,47037,Hyperodapedon,genus,38210,Tuvalian,,233.6,227.3,12507,yes,no,,
477082,occ,,,47198,Coelophysis,genus,38520,Hettangian,,201.4,199.5,12624,yes,no,,
479563,occ,,,47806,Plateosaurus,genus,38644,Norian,,227.3,205.7,12799,yes,no,,
484390,occ,,I,48459,Grallator,genus,64079,Carnian,,237,227.3,12946,yes,no,,
484408,occ,,,48460,Hyperodapedon,genus,38210,Carnian,,237,227.3,32306,yes,no,,
484409,occ,22995,,48460,Saturnalia,genus,68123,Carnian,,237,227.3,7097,yes,no,,
484987,occ,38971,,48546,Shuvosaurus,genus,90274,Norian,,227.3,205.7,78440,yes,no,,
486128,occ,,,36106,Plateosaurus,genus,38644,Rhaetian,,205.7,201.4,15228,yes,no,,
486145,occ,,,48643,Plateosaurus,genus,38644,Norian,,227.3,205.7,12975,yes,no,,
486395,occ,23380,,48683,Liliensternus,genus,55542,Norian,,227.3,205.7,33788,yes,no,,
486402,occ,,,48687,Plateosaurus,genus,38644,Rhaetian,,205.7,201.4,16920,yes,no,,
486405,occ,,,48689,Plateosaurus,genus,38644,Norian,,227.3,205.7,16920,yes,no,,
490749,occ,12601,,49499,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,7058,yes,no,,
490750,occ,,,49499,Rutiodon,genus,38299,Norian,,227.3,205.7,19871,yes,no,,
490754,occ,12603,,49499,Shuvosaurus,genus,90274,Norian,,227.3,205.7,7058,yes,no,,
490758,occ,38969,,49500,Hesperosuchus,genus,38319,Norian,,227.3,205.7,78440,yes,no,,
490763,occ,38970,,49500,Machaeroprosopus,genus,69056,Norian,,227.3,205.7,78440,yes,no,,
497884,occ,,I,50302,Grallator,genus,64079,Norian,,227.3,205.7,13507,yes,no,,
497885,occ,,I,50303,Grallator,genus,64079,Norian,,227.3,205.7,13508,yes,no,,
504257,occ,,,47803,Eudimorphodon,genus,38467,Norian,,227.3,205.7,13645,yes,no,,
504266,occ,,,51235,Eudimorphodon,genus,38467,Rhaetian,,205.7,201.4,13645,yes,no,,
504276,occ,,,51235,Variodens,genus,38203,Rhaetian,,205.7,201.4,13645,yes,no,,
513187,occ,,,39671,Coelophysis,genus,38520,Late Triassic,,237,201.4,13103,yes,no,,
513907,occ,,,52086,Syntarsus,genus,38525,Rhaetian,Hettangian,205.7,199.5,13958,yes,no,,
515102,occ,31550,I,52153,Eubrontes,genus,66094,Early Hettangian,,201.4,199.5,14018,yes,no,,
515103,occ,33217,I,52153,Grallator,genus,64079,Early Hettangian,,201.4,199.5,61886,yes,no,,
515104,occ,39098,I,52153,Anomoepus,genus,67049,Early Hettangian,,201.4,199.5,78695,yes,no,,
